date,power_mw
01/04/2023      00:00 - 00:15,11.46
01/04/2023      00:15 - 00:30,10.88
01/04/2023      00:30 - 00:45,9.78
01/04/2023      00:45 - 01:00,7.49
01/04/2023      01:00 - 01:15,7.72
01/04/2023      01:15 - 01:30,8.48
01/04/2023      01:30 - 01:45,9.05
01/04/2023      01:45 - 02:00,10.39
01/04/2023      02:00 - 02:15,11.39
01/04/2023      02:15 - 02:30,13.51
01/04/2023      02:30 - 02:45,12.87
01/04/2023      02:45 - 03:00,12.71
01/04/2023      03:00 - 03:15,12.11
01/04/2023      03:15 - 03:30,12.6
01/04/2023      03:30 - 03:45,13.71
01/04/2023      03:45 - 04:00,15.12
01/04/2023      04:00 - 04:15,15.02
01/04/2023      04:15 - 04:30,15.21
01/04/2023      04:30 - 04:45,12.91
01/04/2023      04:45 - 05:00,11.32
01/04/2023      05:00 - 05:15,10.45
01/04/2023      05:15 - 05:30,10.09
01/04/2023      05:30 - 05:45,10.04
01/04/2023      05:45 - 06:00,8.87
01/04/2023      06:00 - 06:15,8.02
01/04/2023      06:15 - 06:30,6.31
01/04/2023      06:30 - 06:45,7.11
01/04/2023      06:45 - 07:00,8.15
01/04/2023      07:00 - 07:15,9.36
01/04/2023      07:15 - 07:30,10.61
01/04/2023      07:30 - 07:45,10.91
01/04/2023      07:45 - 08:00,11.13
01/04/2023      08:00 - 08:15,10.08
01/04/2023      08:15 - 08:30,9
01/04/2023      08:30 - 08:45,7.07
01/04/2023      08:45 - 09:00,3.92
01/04/2023      09:00 - 09:15,2.45
01/04/2023      09:15 - 09:30,3.78
01/04/2023      09:30 - 09:45,6.37
01/04/2023      09:45 - 10:00,8.34
01/04/2023      10:00 - 10:15,7.56
01/04/2023      10:15 - 10:30,7.59
01/04/2023      10:30 - 10:45,7.41
01/04/2023      10:45 - 11:00,8.58
01/04/2023      11:00 - 11:15,8.68
01/04/2023      11:15 - 11:30,7.89
01/04/2023      11:30 - 11:45,7.9
01/04/2023      11:45 - 12:00,8.3
01/04/2023      12:00 - 12:15,7.94
01/04/2023      12:15 - 12:30,7.48
01/04/2023      12:30 - 12:45,6.54
01/04/2023      12:45 - 13:00,6.1
01/04/2023      13:00 - 13:15,6.62
01/04/2023      13:15 - 13:30,6.66
01/04/2023      13:30 - 13:45,6.87
01/04/2023      13:45 - 14:00,5.85
01/04/2023      14:00 - 14:15,5.78
01/04/2023      14:15 - 14:30,3.86
01/04/2023      14:30 - 14:45,4.85
01/04/2023      14:45 - 15:00,4.19
01/04/2023      15:00 - 15:15,5.72
01/04/2023      15:15 - 15:30,6.8
01/04/2023      15:30 - 15:45,6.97
01/04/2023      15:45 - 16:00,8.8
01/04/2023      16:00 - 16:15,8.23
01/04/2023      16:15 - 16:30,6.68
01/04/2023      16:30 - 16:45,7.44
01/04/2023      16:45 - 17:00,13.4
01/04/2023      17:00 - 17:15,9.88
01/04/2023      17:15 - 17:30,11.65
01/04/2023      17:30 - 17:45,7.58
01/04/2023      17:45 - 18:00,3.96
01/04/2023      18:00 - 18:15,3.59
01/04/2023      18:15 - 18:30,5.95
01/04/2023      18:30 - 18:45,12.63
01/04/2023      18:45 - 19:00,32.02
01/04/2023      19:00 - 19:15,43.69
01/04/2023      19:15 - 19:30,37.93
01/04/2023      19:30 - 19:45,32.73
01/04/2023      19:45 - 20:00,32.6
01/04/2023      20:00 - 20:15,31.22
01/04/2023      20:15 - 20:30,30.28
01/04/2023      20:30 - 20:45,27.26
01/04/2023      20:45 - 21:00,28.73
01/04/2023      21:00 - 21:15,28.05
01/04/2023      21:15 - 21:30,28.36
01/04/2023      21:30 - 21:45,25.68
01/04/2023      21:45 - 22:00,25.84
01/04/2023      22:00 - 22:15,22.21
01/04/2023      22:15 - 22:30,20.14
01/04/2023      22:30 - 22:45,17.26
01/04/2023      22:45 - 23:00,13.95
01/04/2023      23:00 - 23:15,13.18
01/04/2023      23:15 - 23:30,12.65
01/04/2023      23:30 - 23:45,10.89
01/04/2023      23:45 - 24:00,9.62
02/04/2023      00:00 - 00:15,11.06
02/04/2023      00:15 - 00:30,10.39
02/04/2023      00:30 - 00:45,9.37
02/04/2023      00:45 - 01:00,8.15
02/04/2023      01:00 - 01:15,6.72
02/04/2023      01:15 - 01:30,5.01
02/04/2023      01:30 - 01:45,4.94
02/04/2023      01:45 - 02:00,5.27
02/04/2023      02:00 - 02:15,5.15
02/04/2023      02:15 - 02:30,4.8
02/04/2023      02:30 - 02:45,5.51
02/04/2023      02:45 - 03:00,6.17
02/04/2023      03:00 - 03:15,5.98
02/04/2023      03:15 - 03:30,7.74
02/04/2023      03:30 - 03:45,10.37
02/04/2023      03:45 - 04:00,13.23
02/04/2023      04:00 - 04:15,14.94
02/04/2023      04:15 - 04:30,16.17
02/04/2023      04:30 - 04:45,14.9
02/04/2023      04:45 - 05:00,11.1
02/04/2023      05:00 - 05:15,10.45
02/04/2023      05:15 - 05:30,10.59
02/04/2023      05:30 - 05:45,10.26
02/04/2023      05:45 - 06:00,9.52
02/04/2023      06:00 - 06:15,6.86
02/04/2023      06:15 - 06:30,6.34
02/04/2023      06:30 - 06:45,5.97
02/04/2023      06:45 - 07:00,5.08
02/04/2023      07:00 - 07:15,4.06
02/04/2023      07:15 - 07:30,3.86
02/04/2023      07:30 - 07:45,2.63
02/04/2023      07:45 - 08:00,0.65
02/04/2023      08:00 - 08:15,0.14
02/04/2023      08:15 - 08:30,0.19
02/04/2023      08:30 - 08:45,0.09
02/04/2023      08:45 - 09:00,0.19
02/04/2023      09:00 - 09:15,0.14
02/04/2023      09:15 - 09:30,0.13
02/04/2023      09:30 - 09:45,0.1
02/04/2023      09:45 - 10:00,0.1
02/04/2023      10:00 - 10:15,0.15
02/04/2023      10:15 - 10:30,0.12
02/04/2023      10:30 - 10:45,0.18
02/04/2023      10:45 - 11:00,0.13
02/04/2023      11:00 - 11:15,0.13
02/04/2023      11:15 - 11:30,0.19
02/04/2023      11:30 - 11:45,0.13
02/04/2023      11:45 - 12:00,0.18
02/04/2023      12:00 - 12:15,0.18
02/04/2023      12:15 - 12:30,0.16
02/04/2023      12:30 - 12:45,0.68
02/04/2023      12:45 - 13:00,1.32
02/04/2023      13:00 - 13:15,1.71
02/04/2023      13:15 - 13:30,3.66
02/04/2023      13:30 - 13:45,4.04
02/04/2023      13:45 - 14:00,3.02
02/04/2023      14:00 - 14:15,5.16
02/04/2023      14:15 - 14:30,3.63
02/04/2023      14:30 - 14:45,5.22
02/04/2023      14:45 - 15:00,7.37
02/04/2023      15:00 - 15:15,7.2
02/04/2023      15:15 - 15:30,7.9
02/04/2023      15:30 - 15:45,7.07
02/04/2023      15:45 - 16:00,5.07
02/04/2023      16:00 - 16:15,6.2
02/04/2023      16:15 - 16:30,6.43
02/04/2023      16:30 - 16:45,5.66
02/04/2023      16:45 - 17:00,6.87
02/04/2023      17:00 - 17:15,6.72
02/04/2023      17:15 - 17:30,6.5
02/04/2023      17:30 - 17:45,14.76
02/04/2023      17:45 - 18:00,22.15
02/04/2023      18:00 - 18:15,29.03
02/04/2023      18:15 - 18:30,33.94
02/04/2023      18:30 - 18:45,31.76
02/04/2023      18:45 - 19:00,34.4
02/04/2023      19:00 - 19:15,35.55
02/04/2023      19:15 - 19:30,29.15
02/04/2023      19:30 - 19:45,35.04
02/04/2023      19:45 - 20:00,33.98
02/04/2023      20:00 - 20:15,30.77
02/04/2023      20:15 - 20:30,29.67
02/04/2023      20:30 - 20:45,29.1
02/04/2023      20:45 - 21:00,29.32
02/04/2023      21:00 - 21:15,25.94
02/04/2023      21:15 - 21:30,19.12
02/04/2023      21:30 - 21:45,14.17
02/04/2023      21:45 - 22:00,11.25
02/04/2023      22:00 - 22:15,10.48
02/04/2023      22:15 - 22:30,14.09
02/04/2023      22:30 - 22:45,16.51
02/04/2023      22:45 - 23:00,14.8
02/04/2023      23:00 - 23:15,17.01
02/04/2023      23:15 - 23:30,15.86
02/04/2023      23:30 - 23:45,12.67
02/04/2023      23:45 - 24:00,12.27
03/04/2023      00:00 - 00:15,13.79
03/04/2023      00:15 - 00:30,17.04
03/04/2023      00:30 - 00:45,17.99
03/04/2023      00:45 - 01:00,13.9
03/04/2023      01:00 - 01:15,11.14
03/04/2023      01:15 - 01:30,8.6
03/04/2023      01:30 - 01:45,7.44
03/04/2023      01:45 - 02:00,6.77
03/04/2023      02:00 - 02:15,8.34
03/04/2023      02:15 - 02:30,8.34
03/04/2023      02:30 - 02:45,7.32
03/04/2023      02:45 - 03:00,6.25
03/04/2023      03:00 - 03:15,6.1
03/04/2023      03:15 - 03:30,7.45
03/04/2023      03:30 - 03:45,8.4
03/04/2023      03:45 - 04:00,9.71
03/04/2023      04:00 - 04:15,13.57
03/04/2023      04:15 - 04:30,14.86
03/04/2023      04:30 - 04:45,13.96
03/04/2023      04:45 - 05:00,11.37
03/04/2023      05:00 - 05:15,8.33
