,date_time_slot,power_mw
768,09/04/2023      00:00 - 00:15,21.58
769,09/04/2023      00:15 - 00:30,14.63
770,09/04/2023      00:30 - 00:45,11.77
771,09/04/2023      00:45 - 01:00,12.23
772,09/04/2023      01:00 - 01:15,16.88
773,09/04/2023      01:15 - 01:30,20.81
774,09/04/2023      01:30 - 01:45,25.28
775,09/04/2023      01:45 - 02:00,25.81
776,09/04/2023      02:00 - 02:15,22.68
777,09/04/2023      02:15 - 02:30,19.55
778,09/04/2023      02:30 - 02:45,16.27
779,09/04/2023      02:45 - 03:00,12.91
780,09/04/2023      03:00 - 03:15,10.77
781,09/04/2023      03:15 - 03:30,11.79
782,09/04/2023      03:30 - 03:45,11.91
783,09/04/2023      03:45 - 04:00,12.77
784,09/04/2023      04:00 - 04:15,15.58
785,09/04/2023      04:15 - 04:30,18.4
786,09/04/2023      04:30 - 04:45,19.87
787,09/04/2023      04:45 - 05:00,20.08
788,09/04/2023      05:00 - 05:15,22.67
789,09/04/2023      05:15 - 05:30,23.54
790,09/04/2023      05:30 - 05:45,18.17
791,09/04/2023      05:45 - 06:00,18.1
792,09/04/2023      06:00 - 06:15,16.59
793,09/04/2023      06:15 - 06:30,16.82
794,09/04/2023      06:30 - 06:45,16.27
795,09/04/2023      06:45 - 07:00,14.7
796,09/04/2023      07:00 - 07:15,12.7
797,09/04/2023      07:15 - 07:30,13.37
798,09/04/2023      07:30 - 07:45,13.45
799,09/04/2023      07:45 - 08:00,10.93
800,09/04/2023      08:00 - 08:15,9.44
801,09/04/2023      08:15 - 08:30,8.0
802,09/04/2023      08:30 - 08:45,6.69
803,09/04/2023      08:45 - 09:00,6.09
804,09/04/2023      09:00 - 09:15,3.8
805,09/04/2023      09:15 - 09:30,1.54
806,09/04/2023      09:30 - 09:45,1.22
807,09/04/2023      09:45 - 10:00,0.8
808,09/04/2023      10:00 - 10:15,0.8
809,09/04/2023      10:15 - 10:30,0.52
810,09/04/2023      10:30 - 10:45,0.61
811,09/04/2023      10:45 - 11:00,0.36
812,09/04/2023      11:00 - 11:15,0.9
813,09/04/2023      11:15 - 11:30,0.28
814,09/04/2023      11:30 - 11:45,0.23
815,09/04/2023      11:45 - 12:00,0.37
816,09/04/2023      12:00 - 12:15,0.49
817,09/04/2023      12:15 - 12:30,0.29
818,09/04/2023      12:30 - 12:45,0.14
819,09/04/2023      12:45 - 13:00,0.11
820,09/04/2023      13:00 - 13:15,0.29
821,09/04/2023      13:15 - 13:30,0.11
822,09/04/2023      13:30 - 13:45,0.2
823,09/04/2023      13:45 - 14:00,0.16
824,09/04/2023      14:00 - 14:15,0.16
825,09/04/2023      14:15 - 14:30,0.11
826,09/04/2023      14:30 - 14:45,0.3
827,09/04/2023      14:45 - 15:00,0.47
828,09/04/2023      15:00 - 15:15,0.88
829,09/04/2023      15:15 - 15:30,2.9
830,09/04/2023      15:30 - 15:45,1.6
831,09/04/2023      15:45 - 16:00,0.63
832,09/04/2023      16:00 - 16:15,1.86
833,09/04/2023      16:15 - 16:30,2.74
834,09/04/2023      16:30 - 16:45,2.22
835,09/04/2023      16:45 - 17:00,2.51
836,09/04/2023      17:00 - 17:15,3.29
837,09/04/2023      17:15 - 17:30,2.78
838,09/04/2023      17:30 - 17:45,1.9
839,09/04/2023      17:45 - 18:00,4.79
840,09/04/2023      18:00 - 18:15,15.62
841,09/04/2023      18:15 - 18:30,33.68
842,09/04/2023      18:30 - 18:45,35.81
843,09/04/2023      18:45 - 19:00,37.56
844,09/04/2023      19:00 - 19:15,33.85
845,09/04/2023      19:15 - 19:30,36.38
846,09/04/2023      19:30 - 19:45,40.65
847,09/04/2023      19:45 - 20:00,37.64
848,09/04/2023      20:00 - 20:15,27.12
849,09/04/2023      20:15 - 20:30,24.39
850,09/04/2023      20:30 - 20:45,22.97
851,09/04/2023      20:45 - 21:00,21.46
852,09/04/2023      21:00 - 21:15,20.58
853,09/04/2023      21:15 - 21:30,20.31
854,09/04/2023      21:30 - 21:45,22.47
855,09/04/2023      21:45 - 22:00,21.75
