date,mw
04/01/2023 00:00,11.46
04/01/2023 00:15,10.88
04/01/2023 00:30,9.78
04/01/2023 00:45,7.49
04/01/2023 01:00,7.72
04/01/2023 01:15,8.48
04/01/2023 01:30,9.05
04/01/2023 01:45,10.39
04/01/2023 02:00,11.39
04/01/2023 02:15,13.51
04/01/2023 02:30,12.87
04/01/2023 02:45,12.71
04/01/2023 03:00,12.11
04/01/2023 03:15,12.6
04/01/2023 03:30,13.71
04/01/2023 03:45,15.12
04/01/2023 04:00,15.02
04/01/2023 04:15,15.21
04/01/2023 04:30,12.91
04/01/2023 04:45,11.32
04/01/2023 05:00,10.45
04/01/2023 05:15,10.09
04/01/2023 05:30,10.04
04/01/2023 05:45,8.87
04/01/2023 06:00,8.02
04/01/2023 06:15,6.31
04/01/2023 06:30,7.11
04/01/2023 06:45,8.15
04/01/2023 07:00,9.36
04/01/2023 07:15,10.61
04/01/2023 07:30,10.91
04/01/2023 07:45,11.13
04/01/2023 08:00,10.08
04/01/2023 08:15,9.0
04/01/2023 08:30,7.07
04/01/2023 08:45,3.92
04/01/2023 09:00,2.45
04/01/2023 09:15,3.78
04/01/2023 09:30,6.37
04/01/2023 09:45,8.34
04/01/2023 10:00,7.56
04/01/2023 10:15,7.59
04/01/2023 10:30,7.41
04/01/2023 10:45,8.58
04/01/2023 11:00,8.68
04/01/2023 11:15,7.89
04/01/2023 11:30,7.9
04/01/2023 11:45,8.3
04/01/2023 12:00,7.94
04/01/2023 12:15,7.48
04/01/2023 12:30,6.54
04/01/2023 12:45,6.1
04/01/2023 13:00,6.62
04/01/2023 13:15,6.66
04/01/2023 13:30,6.87
04/01/2023 13:45,5.85
04/01/2023 14:00,5.78
04/01/2023 14:15,3.86
04/01/2023 14:30,4.85
04/01/2023 14:45,4.19
04/01/2023 15:00,5.72
04/01/2023 15:15,6.8
04/01/2023 15:30,6.97
04/01/2023 15:45,8.8
04/01/2023 16:00,8.23
04/01/2023 16:15,6.68
04/01/2023 16:30,7.44
04/01/2023 16:45,13.4
04/01/2023 17:00,9.88
04/01/2023 17:15,11.65
04/01/2023 17:30,7.58
04/01/2023 17:45,3.96
04/01/2023 18:00,3.59
04/01/2023 18:15,5.95
04/01/2023 18:30,12.63
04/01/2023 18:45,32.02
04/01/2023 19:00,43.69
04/01/2023 19:15,37.93
04/01/2023 19:30,32.73
04/01/2023 19:45,32.6
04/01/2023 20:00,31.22
04/01/2023 20:15,30.28
04/01/2023 20:30,27.26
04/01/2023 20:45,28.73
04/01/2023 21:00,28.05
04/01/2023 21:15,28.36
04/01/2023 21:30,25.68
04/01/2023 21:45,25.84
04/01/2023 22:00,22.21
04/01/2023 22:15,20.14
04/01/2023 22:30,17.26
04/01/2023 22:45,13.95
04/01/2023 23:00,13.18
04/01/2023 23:15,12.65
04/01/2023 23:30,10.89
04/01/2023 23:45,9.62
04/02/2023 00:00,11.06
04/02/2023 00:15,10.39
04/02/2023 00:30,9.37
04/02/2023 00:45,8.15
04/02/2023 01:00,6.72
04/02/2023 01:15,5.01
04/02/2023 01:30,4.94
04/02/2023 01:45,5.27
04/02/2023 02:00,5.15
04/02/2023 02:15,4.8
04/02/2023 02:30,5.51
04/02/2023 02:45,6.17
04/02/2023 03:00,5.98
04/02/2023 03:15,7.74
04/02/2023 03:30,10.37
04/02/2023 03:45,13.23
04/02/2023 04:00,14.94
04/02/2023 04:15,16.17
04/02/2023 04:30,14.9
04/02/2023 04:45,11.1
04/02/2023 05:00,10.45
04/02/2023 05:15,10.59
04/02/2023 05:30,10.26
04/02/2023 05:45,9.52
04/02/2023 06:00,6.86
04/02/2023 06:15,6.34
04/02/2023 06:30,5.97
04/02/2023 06:45,5.08
04/02/2023 07:00,4.06
04/02/2023 07:15,3.86
04/02/2023 07:30,2.63
04/02/2023 07:45,0.65
04/02/2023 08:00,0.14
04/02/2023 08:15,0.19
04/02/2023 08:30,0.09
04/02/2023 08:45,0.19
04/02/2023 09:00,0.14
