unique_id,ds,y
T0,1975-1-31,335095.3
T0,1975-2-28,803648.8
T0,1975-3-31,705231.5
T0,1975-4-30,517809.5
T0,1975-5-31,1045875.8
T0,1975-6-30,2094.8
T0,1975-7-31,1046085.6
T0,1975-8-31,663134.6
T0,1975-9-30,420002.8
T0,1975-10-31,183574.4
T0,1975-11-30,117828.7
T0,1975-12-31,300608.4
T1,1976-1-31,396351.0
T1,1976-2-29,591499.7
T1,1976-3-31,961420.7
T1,1976-4-30,639558.1
T1,1976-5-31,279840.0
T1,1976-6-30,445747.2
T1,1976-7-31,448455.5
T1,1976-8-31,532840.0
T1,1976-9-30,656794.3
T1,1976-10-31,832224.9
T1,1976-11-30,556082.5
T1,1976-12-31,175907.3
T2,1977-1-31,754163.3
T2,1977-2-28,192072.9
T2,1977-3-31,294481.9
T2,1977-4-30,704017.7
T2,1977-5-31,106257.1
T2,1977-6-30,144746.5
T2,1977-7-31,869996.0
T2,1977-8-31,666983.0
T2,1977-9-30,623888.6
T2,1977-10-31,1068478.8
T2,1977-11-30,158913.8
T2,1977-12-31,572891.8
T3,1978-1-31,484800.0
T3,1978-2-28,519016.5
T3,1978-3-31,891682.5
T3,1978-4-30,713757.2
T3,1978-5-31,980185.4
T3,1978-6-30,683275.3
T3,1978-7-31,884950.4
T3,1978-8-31,484647.5
T3,1978-9-30,1127680.6
T3,1978-10-31,688456.1
T3,1978-11-30,685245.6
T3,1978-12-31,824538.2
T4,1979-1-31,55817.3
T4,1979-2-28,724749.7
T4,1979-3-31,404615.1
T4,1979-4-30,206966.6
T4,1979-5-31,250337.5
T4,1979-6-30,888429.8
T4,1979-7-31,969451.9
T4,1979-8-31,782295.0
T4,1979-9-30,137973.5
T4,1979-10-31,192607.4
T4,1979-11-30,324919.7
T4,1979-12-31,697043.6
T5,1980-1-31,718372.1
T5,1980-2-29,1069637.4
T5,1980-3-31,1015549.8
T5,1980-4-30,868125.0
T5,1980-5-31,595680.3
T5,1980-6-30,1185214.8
T5,1980-7-31,817375.1
T5,1980-8-31,1015676.1
T5,1980-9-30,761596.3
T5,1980-10-31,693932.8
T5,1980-11-30,1028512.0
T5,1980-12-31,471147.3
T6,1981-1-31,541000.6
T6,1981-2-28,399329.7
T6,1981-3-31,1152421.1
T6,1981-4-30,190857.2
T6,1981-5-31,891286.0
T6,1981-6-30,999490.6
T6,1981-7-31,744506.7
T6,1981-8-31,1022845.5
T6,1981-9-30,950882.2
T6,1981-10-31,840990.0
T6,1981-11-30,144301.4
T6,1981-12-31,770515.4
T7,1982-1-31,295809.4
T7,1982-2-28,45015.1
T7,1982-3-31,58658.8
T7,1982-4-30,901873.8
T7,1982-5-31,680310.8
T7,1982-6-30,876900.6
T7,1982-7-31,448401.3
T7,1982-8-31,355834.6
T7,1982-9-30,366946.3
T7,1982-10-31,1094462.5
T7,1982-11-30,669930.2
T7,1982-12-31,473740.4
T8,1983-1-31,973280.6
T8,1983-2-28,238864.7
T8,1983-3-31,1144413.0
T8,1983-4-30,623558.6
T8,1983-5-31,930176.6
T8,1983-6-30,530018.4
T8,1983-7-31,26862.9
T8,1983-8-31,1164432.4
T8,1983-9-30,731091.9
T8,1983-10-31,342712.4
T8,1983-11-30,1176962.8
T8,1983-12-31,381042.2
T9,1984-1-31,427498.3
T9,1984-2-29,566142.7
T9,1984-3-31,244027.4
T9,1984-4-30,222939.7
T9,1984-5-31,233644.2
T9,1984-6-30,1097824.3
T9,1984-7-31,982049.2
T9,1984-8-31,1170138.9
T9,1984-9-30,568015.6
T9,1984-10-31,43402.0
T9,1984-11-30,623470.5
T9,1984-12-31,637741.0
T10,1985-1-31,440830.2
T10,1985-2-28,89826.6
T10,1985-3-31,881853.8
T10,1985-4-30,21128.2
T10,1985-5-31,309299.3
T10,1985-6-30,83686.9
T10,1985-7-31,1163986.5
T10,1985-8-31,568737.5
T10,1985-9-30,737511.8
T10,1985-10-31,1137048.8
T10,1985-11-30,1093528.7
T10,1985-12-31,218970.8
T11,1986-1-31,788154.9
T11,1986-2-28,443148.6
T11,1986-3-31,202530.6
T11,1986-4-30,861173.1
T11,1986-5-31,441253.5
T11,1986-6-30,383790.6
T11,1986-7-31,809590.9
T11,1986-8-31,982412.6
T11,1986-9-30,847114.9
T11,1986-10-31,182173.6
T11,1986-11-30,937287.3
T11,1986-12-31,92271.2
