date,rf
1871-01-01 00:00:00.00,969
1871-02-01 00:00:00.00,149
1871-03-01 00:00:00.00,536
1871-04-01 00:00:00.00,1651
1871-05-01 00:00:00.00,1981
1871-06-01 00:00:00.00,8801
1871-07-01 00:00:00.00,9447
1871-08-01 00:00:00.00,2508
1871-09-01 00:00:00.00,2214
1871-10-01 00:00:00.00,1393
1871-11-01 00:00:00.00,2166
1871-12-01 00:00:00.00,94
1872-01-01 00:00:00.00,0
1872-02-01 00:00:00.00,133
1872-03-01 00:00:00.00,14
1872-04-01 00:00:00.00,801
1872-05-01 00:00:00.00,1854
1872-06-01 00:00:00.00,7981
1872-07-01 00:00:00.00,7418
1872-08-01 00:00:00.00,4020
1872-09-01 00:00:00.00,4298
1872-10-01 00:00:00.00,971
1872-11-01 00:00:00.00,936
1872-12-01 00:00:00.00,379
1873-01-01 00:00:00.00,4
1873-02-01 00:00:00.00,780
1873-03-01 00:00:00.00,25
1873-04-01 00:00:00.00,1526
1873-05-01 00:00:00.00,2478
1873-06-01 00:00:00.00,8313
1873-07-01 00:00:00.00,8567
1873-08-01 00:00:00.00,1887
1873-09-01 00:00:00.00,1283
1873-10-01 00:00:00.00,2190
1873-11-01 00:00:00.00,190
1873-12-01 00:00:00.00,142
1874-01-01 00:00:00.00,0
1874-02-01 00:00:00.00,114
1874-03-01 00:00:00.00,51
1874-04-01 00:00:00.00,874
1874-05-01 00:00:00.00,5912
1874-06-01 00:00:00.00,10541
1874-07-01 00:00:00.00,6913
1874-08-01 00:00:00.00,3196
1874-09-01 00:00:00.00,2357
1874-10-01 00:00:00.00,2453
1874-11-01 00:00:00.00,775
1874-12-01 00:00:00.00,277
1875-01-01 00:00:00.00,16
1875-02-01 00:00:00.00,0
1875-03-01 00:00:00.00,153
1875-04-01 00:00:00.00,924
1875-05-01 00:00:00.00,1161
1875-06-01 00:00:00.00,8633
1875-07-01 00:00:00.00,6502
1875-08-01 00:00:00.00,3128
1875-09-01 00:00:00.00,1187
1875-10-01 00:00:00.00,1571
1875-11-01 00:00:00.00,505
