,date,ajmer,barmer,jodhpur,bikaner,jalor,nagaur,hanumangarh
0,19010102,0,0,0,0,0,0,0
1,19010103,0,0,0,0,0,0,0
2,19010104,0,0,0,0,0,0,0
3,19010105,0,0,0,0,0,0,0
4,19010106,0,0,0,0,0,13,0
5,19010107,0,0,0,0,0,0,0
6,19010108,191,0,0,0,0,0,0
7,19010109,89,0,0,0,0,0,0
8,19010110,0,0,0,0,0,0,0
9,19010111,0,0,0,0,0,8,0
10,19010112,0,0,0,0,0,33,0
11,19010113,0,0,0,0,0,0,0
12,19010114,64,0,0,25,0,0,0
13,19010115,0,0,0,0,0,0,0
14,19010116,0,0,0,0,0,0,0
15,19010117,0,0,0,0,0,0,0
16,19010118,0,0,0,0,0,20,0
17,19010119,0,0,0,0,0,0,0
18,19010120,13,0,18,25,0,0,0
19,19010121,0,0,0,0,0,0,0
20,19010122,0,0,0,0,0,0,0
21,19010123,0,0,0,0,0,0,0
22,19010124,0,0,0,0,0,0,0
23,19010125,0,0,0,0,0,0,0
24,19010126,0,0,0,0,0,0,0
25,19010127,0,0,0,0,0,0,0
26,19010128,0,0,0,0,0,0,0
27,19010129,0,0,0,0,0,0,0
28,19010130,0,0,0,0,0,0,0
29,19010131,0,0,0,0,0,0,0
30,19010201,0,0,0,0,0,0,0
31,19010202,0,0,0,0,0,0,0
32,19010203,0,0,0,0,0,0,0
33,19010204,0,0,0,0,0,0,0
34,19010205,0,0,0,0,0,0,0
35,19010206,0,5,0,0,0,0,0
36,19010207,0,0,0,0,0,0,0
37,19010208,0,0,0,0,0,0,0
38,19010209,0,0,0,0,0,0,0
39,19010210,0,0,0,0,0,0,0
40,19010211,0,0,0,0,0,0,0
41,19010212,0,0,0,0,0,0,0
42,19010213,0,8,0,0,0,0,0
43,19010214,0,0,0,0,0,0,0
44,19010215,0,5,0,0,0,0,330
45,19010216,0,0,0,0,0,0,0
46,19010217,0,0,0,0,0,0,0
47,19010218,0,0,0,0,0,0,0
48,19010219,0,0,0,0,0,0,0
49,19010220,0,0,0,0,0,0,0
50,19010221,0,0,0,0,0,0,152
51,19010222,0,0,0,0,0,0,0
52,19010223,0,0,0,0,0,0,0
53,19010224,0,0,0,0,0,0,0
54,19010225,0,0,0,0,0,0,0
55,19010226,0,0,0,0,0,0,0
56,19010227,0,0,0,0,0,0,0
57,19010228,0,0,0,0,0,0,0
58,19010301,0,0,0,0,0,0,0
59,19010302,0,0,0,0,0,0,0
60,19010303,0,0,0,0,0,0,0
61,19010304,0,0,0,0,0,0,0
62,19010305,56,0,0,0,0,0,0
63,19010306,0,0,0,0,0,0,0
64,19010307,0,0,0,0,0,0,0
65,19010308,0,0,0,0,0,0,0
66,19010309,0,0,0,0,0,0,0
67,19010310,0,0,0,0,0,0,0
68,19010311,0,0,0,0,0,0,0
69,19010312,0,0,0,0,0,0,0
70,19010313,0,0,0,0,0,0,0
71,19010314,0,0,0,0,0,0,0
72,19010315,0,0,0,0,0,0,0
73,19010316,0,0,0,0,0,0,0
74,19010317,0,0,0,0,0,0,0
75,19010318,0,0,0,0,0,0,0
76,19010319,0,0,0,0,0,0,0
77,19010320,0,0,0,0,0,0,0
78,19010321,0,0,0,0,0,0,0
79,19010322,0,0,0,0,0,0,15
80,19010323,0,0,0,13,0,0,0
81,19010324,0,0,0,0,0,0,0
82,19010325,0,0,0,0,0,0,0
83,19010326,0,0,0,0,0,0,0
84,19010327,0,0,0,0,0,0,0
85,19010328,0,0,0,0,0,0,0
86,19010329,0,0,0,0,0,0,0
87,19010330,0,0,0,0,0,0,0
88,19010331,0,0,0,0,0,0,0
89,19010401,0,0,0,0,0,0,0
90,19010402,0,0,0,0,0,0,0
91,19010403,0,0,0,0,0,0,0
92,19010404,0,0,0,0,0,0,0
93,19010405,0,0,0,0,0,0,0
94,19010406,0,0,0,0,0,0,0
95,19010407,0,0,0,0,0,0,0
96,19010408,0,0,0,0,0,0,0
97,19010409,0,0,0,0,0,0,0
98,19010410,0,0,0,0,0,0,0
99,19010411,0,0,0,0,0,0,0
100,19010412,0,0,0,0,0,0,0
101,19010413,0,0,0,0,0,0,0
102,19010414,0,0,0,0,0,0,0
103,19010415,0,0,0,0,0,0,0
104,19010416,0,0,0,0,0,0,0
105,19010417,0,0,0,0,0,0,0
106,19010418,0,0,0,0,0,0,0
107,19010419,0,0,0,0,0,0,0
108,19010420,0,0,0,0,0,0,0
109,19010421,0,0,0,0,0,0,0
110,19010422,0,0,0,0,0,0,0
111,19010423,0,0,0,0,0,0,0
112,19010424,0,0,0,0,0,0,0
113,19010425,0,0,0,0,0,0,0
114,19010426,0,0,0,0,0,0,0
115,19010427,0,0,0,0,0,0,0
116,19010428,0,0,0,0,0,0,0
117,19010429,0,0,0,0,0,0,0
118,19010430,0,0,0,0,0,0,0
119,19010501,0,0,0,0,0,0,0
120,19010502,0,0,0,0,0,10,0
121,19010503,0,0,0,0,0,0,0
122,19010504,0,0,0,0,28,0,0
123,19010505,51,0,0,0,0,0,0
124,19010506,0,0,0,0,0,0,0
125,19010507,0,0,0,0,0,0,0
126,19010508,0,0,0,0,0,0,0
127,19010509,0,0,0,0,0,0,0
128,19010510,0,0,0,0,0,10,0
129,19010511,0,0,0,0,0,13,0
130,19010512,64,0,0,216,0,0,0
