,date,Ajmer,Barmer,Jodhpur,Jaisalmer,Bikaner,Ganganagar,Hanumangarh,Churu
0,1901-01-01 00:00:00.00,5.082,2.614,2.931,4.544,4.66,4.913,7.229,5.894
1,1901-02-01 00:00:00.00,0.769,0.0,0.006,0.172,0.231,0.905,2.148,1.736
2,1901-03-01 00:00:00.00,0.182,0.271,0.149,0.418,0.911,3.45,4.499,2.105
3,1901-04-01 00:00:00.00,0.291,0.0,0.012,0.051,0.114,0.909,0.774,0.088
4,1901-05-01 00:00:00.00,3.47,5.371,6.766,5.447,13.3,17.427,17.679,14.237
5,1901-06-01 00:00:00.00,18.436,2.973,5.995,3.076,5.099,6.418,9.179,10.101
6,1901-07-01 00:00:00.00,185.767,58.736,93.194,31.771,60.695,62.454,93.689,105.579
7,1901-08-01 00:00:00.00,108.43,32.053,51.908,24.3,58.874,52.113,75.861,92.003
8,1901-09-01 00:00:00.00,6.478,0.488,0.554,1.595,1.223,2.55,0.464,0.436
9,1901-10-01 00:00:00.00,8.023,2.213,2.141,0.18,0.18,0.064,0.0,0.344
10,1901-11-01 00:00:00.00,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1901-12-01 00:00:00.00,6.618,3.169,2.818,2.942,0.897,0.032,0.122,1.805
12,1902-01-01 00:00:00.00,0.991,0.0,0.025,0.0,0.0,0.0,0.0,0.0
13,1902-02-01 00:00:00.00,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0
14,1902-03-01 00:00:00.00,0.004,0.0,0.0,0.019,0.073,1.258,1.598,0.404
15,1902-04-01 00:00:00.00,0.04,0.0,0.009,0.028,0.251,1.16,2.203,1.574
16,1902-05-01 00:00:00.00,0.231,12.139,10.08,15.442,9.183,4.23,6.13,3.819
17,1902-06-01 00:00:00.00,69.584,28.334,43.154,22.555,38.818,31.579,44.017,59.935
18,1902-07-01 00:00:00.00,89.631,19.33,16.605,19.416,22.888,23.931,52.466,62.764
19,1902-08-01 00:00:00.00,99.575,110.85,80.353,77.485,47.366,33.247,50.939,59.809
20,1902-09-01 00:00:00.00,66.101,57.47,42.358,30.02,30.573,25.341,32.904,36.147
21,1902-10-01 00:00:00.00,2.721,0.074,0.89,0.834,1.974,1.666,1.767,2.168
22,1902-11-01 00:00:00.00,7.319,0.0,0.16,0.0,0.0,0.0,0.0,0.0
23,1902-12-01 00:00:00.00,0.558,0.0,0.0,0.078,0.036,0.026,0.0,0.0
24,1903-01-01 00:00:00.00,0.337,0.118,0.478,0.793,2.291,3.079,3.324,2.452
25,1903-02-01 00:00:00.00,0.089,0.171,0.028,0.0,0.0,0.024,0.039,0.0
26,1903-03-01 00:00:00.00,1.305,8.711,6.798,8.166,2.269,1.697,1.488,0.541
27,1903-04-01 00:00:00.00,0.0,0.0,0.0,0.066,0.123,0.323,0.001,0.0
28,1903-05-01 00:00:00.00,11.937,5.198,9.763,3.337,4.472,4.737,5.388,5.804
29,1903-06-01 00:00:00.00,3.44,0.387,2.382,3.17,6.908,7.035,6.964,6.784
30,1903-07-01 00:00:00.00,287.291,177.786,183.743,104.379,118.927,85.996,104.537,153.637
31,1903-08-01 00:00:00.00,185.468,54.755,92.367,27.261,59.237,52.907,67.153,80.709
32,1903-09-01 00:00:00.00,147.905,61.476,87.405,25.546,47.679,36.785,42.227,59.005
33,1903-10-01 00:00:00.00,2.383,0.0,0.034,0.0,0.072,0.122,0.856,1.209
34,1903-11-01 00:00:00.00,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1903-12-01 00:00:00.00,0.0,0.056,0.526,1.5,3.065,5.466,4.552,3.627
36,1904-01-01 00:00:00.00,0.429,4.82,3.521,7.771,6.23,6.584,7.151,4.945
37,1904-02-01 00:00:00.00,2.02,1.699,2.554,3.298,1.149,0.101,0.0,0.644
38,1904-03-01 00:00:00.00,26.237,9.914,14.034,15.43,24.411,37.956,32.2,24.329
39,1904-04-01 00:00:00.00,0.0,0.014,0.463,0.686,2.602,3.42,2.689,1.635
40,1904-05-01 00:00:00.00,14.769,1.509,4.385,0.432,1.963,1.691,6.491,8.983
41,1904-06-01 00:00:00.00,51.707,12.494,24.628,9.909,21.652,18.691,23.51,28.856
42,1904-07-01 00:00:00.00,117.672,26.117,27.2,6.823,13.195,11.378,27.602,41.807
43,1904-08-01 00:00:00.00,79.146,9.726,22.378,13.088,31.162,31.0,49.157,55.881
44,1904-09-01 00:00:00.00,68.75,21.379,45.406,20.516,48.473,38.479,53.818,73.457
45,1904-10-01 00:00:00.00,11.705,3.916,7.015,1.274,2.146,1.146,1.07,2.726
46,1904-11-01 00:00:00.00,5.116,0.412,2.895,2.627,5.486,5.712,8.313,11.771
47,1904-12-01 00:00:00.00,11.12,3.805,5.758,2.799,6.235,6.6,9.867,13.182
48,1905-01-01 00:00:00.00,4.074,2.654,4.846,4.828,11.729,13.361,17.03,14.674
49,1905-02-01 00:00:00.00,6.229,5.606,8.786,12.854,6.966,6.476,7.233,6.608
50,1905-03-01 00:00:00.00,2.075,0.661,0.421,0.747,1.535,3.286,2.706,1.984
51,1905-04-01 00:00:00.00,8.199,7.704,12.948,5.906,9.175,4.368,3.122,7.189
52,1905-05-01 00:00:00.00,2.768,0.0,0.075,0.272,0.589,1.394,0.393,0.372
53,1905-06-01 00:00:00.00,20.722,5.196,10.124,2.676,5.544,5.272,8.14,9.549
54,1905-07-01 00:00:00.00,99.946,67.403,27.542,8.278,11.633,14.489,32.62,35.551
55,1905-08-01 00:00:00.00,9.432,1.415,1.208,0.586,0.698,0.612,0.884,1.042
56,1905-09-01 00:00:00.00,62.886,22.229,29.462,18.703,33.02,45.504,60.325,42.814
57,1905-10-01 00:00:00.00,0.0,0.0,0.0,0.0,0.024,0.355,0.614,0.094
58,1905-11-01 00:00:00.00,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,1905-12-01 00:00:00.00,0.19,1.679,0.8,4.384,2.151,4.169,3.391,1.937
60,1906-01-01 00:00:00.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,1906-02-01 00:00:00.00,43.472,37.5,69.363,64.279,76.107,78.49,74.793,75.787
62,1906-03-01 00:00:00.00,3.039,8.58,8.077,14.319,15.615,20.274,17.177,13.309
63,1906-04-01 00:00:00.00,0.0,0.0,0.0,0.057,0.118,0.747,0.565,0.039
64,1906-05-01 00:00:00.00,1.03,0.246,0.734,0.085,0.366,0.9,1.075,0.77
65,1906-06-01 00:00:00.00,48.59,23.588,14.496,21.857,17.122,14.505,28.509,33.1
66,1906-07-01 00:00:00.00,160.278,81.314,78.659,43.756,38.305,26.511,46.983,69.781
67,1906-08-01 00:00:00.00,72.257,54.743,59.569,52.675,84.986,73.737,85.666,98.428
68,1906-09-01 00:00:00.00,136.599,65.832,66.964,23.301,42.449,47.532,76.499,74.117
69,1906-10-01 00:00:00.00,0.059,0.688,0.086,0.042,0.05,0.081,0.0,0.0
70,1906-11-01 00:00:00.00,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,1906-12-01 00:00:00.00,18.342,5.801,8.835,6.063,11.016,14.611,12.719,16.772
72,1907-01-01 00:00:00.00,4.374,0.527,1.085,0.222,0.511,1.041,2.487,2.192
73,1907-02-01 00:00:00.00,20.537,11.817,24.075,15.342,12.559,12.483,16.304,18.055
74,1907-03-01 00:00:00.00,0.667,5.185,3.025,6.845,3.978,5.225,5.271,3.285
75,1907-04-01 00:00:00.00,14.725,10.437,15.83,5.104,21.067,20.773,24.433,26.257
76,1907-05-01 00:00:00.00,4.882,0.85,3.251,1.049,5.539,4.936,4.78,6.153
77,1907-06-01 00:00:00.00,10.65,71.631,36.407,80.224,31.338,19.365,18.347,14.966
78,1907-07-01 00:00:00.00,86.726,33.82,59.069,37.204,105.894,96.012,98.47,125.136
79,1907-08-01 00:00:00.00,261.89,156.236,156.761,77.64,99.74,77.904,102.23,128.29
80,1907-09-01 00:00:00.00,1.833,3.714,0.719,0.249,0.315,0.265,0.366,0.436
81,1907-10-01 00:00:00.00,0.0,0.0,0.0,0.042,0.034,0.174,0.24,0.0
82,1907-11-01 00:00:00.00,0.45,0.0,0.012,0.0,0.0,0.0,0.0,0.0
83,1907-12-01 00:00:00.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1908-01-01 00:00:00.00,11.288,3.7,7.674,5.025,8.388,8.257,11.393,11.677
85,1908-02-01 00:00:00.00,0.0,0.097,0.011,0.172,0.225,0.592,1.793,1.819
86,1908-03-01 00:00:00.00,0.0,0.0,0.0,0.019,0.005,0.092,0.0,0.0
87,1908-04-01 00:00:00.00,0.422,0.394,6.029,6.527,30.448,30.223,21.922,20.918
88,1908-05-01 00:00:00.00,3.262,1.335,2.342,1.705,3.392,2.757,4.038,5.113
89,1908-06-01 00:00:00.00,27.672,3.491,8.467,4.873,10.108,13.595,15.474,11.122
90,1908-07-01 00:00:00.00,432.441,192.078,230.896,92.14,161.946,128.783,174.455,250.153
91,1908-08-01 00:00:00.00,313.776,163.022,209.535,110.246,163.295,157.705,229.703,246.453
92,1908-09-01 00:00:00.00,288.739,97.855,166.879,32.713,61.146,35.873,39.181,75.023
93,1908-10-01 00:00:00.00,0.893,0.0,0.0,0.042,0.034,0.018,0.007,0.0
94,1908-11-01 00:00:00.00,6.134,2.898,3.415,0.35,0.236,0.0,0.0,0.529
95,1908-12-01 00:00:00.00,0.19,0.0,0.0,0.058,0.068,0.809,0.823,0.082
96,1909-01-01 00:00:00.00,13.532,3.578,6.865,2.585,3.038,1.379,2.29,4.829
97,1909-02-01 00:00:00.00,0.223,0.084,1.182,2.111,5.31,8.332,8.849,6.872
98,1909-03-01 00:00:00.00,0.0,0.0,0.0,0.019,0.005,0.092,0.0,0.0
99,1909-04-01 00:00:00.00,26.655,18.548,42.041,14.099,55.342,47.758,42.418,50.571
